secID,ticker,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating
"002681.XSHE","002681","XSHE",3,"中小板","CNY","奋达科技","深圳市奋达科技股份有限公司","L","2012-06-05",,"A","沪深A股","CHN",65957,343121000,75000000,75000000,"广东省深圳市宝安区石岩洲石路奋达科技园","兴办实业（具体项目另行申报）；电声产品、玩具产品、塑胶产品、电子产品及其元器件的产销；国内商业、物资供销业；货物及技术进出口（以上均不含法律、行政法规、国务院决定规定需前置审批和禁止的项目）；普通货运（《道路运输经营许可证》有效期至2015年5月6日）。"
"002682.XSHE","002682","XSHE",3,"中小板","CNY","龙洲股份","福建龙洲运输股份有限公司","L","2012-06-12",,"A","沪深A股","CHN",65907,208000000,143343077,143343077,"福建省龙岩市新罗区人民路龙津花园东塔楼5楼","县内班车客运、县际班车客运、市际班车客运、省际班车客运、省际（旅游）包车客运、客运站经营（有效期至2014年06月30日）；出租汽车客运（有效期至2014年06月30日）；普通货运、危险货物运输（2类1项）、危险货物运输（3类）、货运站（场）经营（有效期至2014年12月31日）；一类汽车维修（仅限分支机构经营）；保险兼业代理：车险、货运险、意外险（有效期至2015年9月25日）；水路旅客运输、旅游客运、货物运输及水路运输服务业（有效期至2014年4月15日）；房屋租赁；汽车租赁；对旅游、广告、城乡公交、机动车性能检测、交通职业技术培训、住宿、餐饮行业的投资；汽车（不含九座以下乘用车）、汽车配件、润滑油、日用百货、石制品、矿产品（除煤炭）、工艺品、服装、五金、化工产品（不含危险品及易制毒化学品）、建筑材料的销售；设计、制作、代理、发布国内各类广告。（以上经营范围涉及许可经营项目的，应在取得有关部门的许可后方可经营）。"
"002683.XSHE","002683","XSHE",3,"中小板","CNY","宏大爆破","广东宏大爆破股份有限公司","L","2012-06-12",,"A","沪深A股","CHN",33318,243959998,104007436,104007436,"广东省广州市珠江新城华夏路49号津滨腾越大厦北塔21楼","爆破与拆除工程、土石方工程、地基与基础工程、隧道工程专业承包；民用爆破器材生产及销售本企业生产的民用爆炸物品；承包境外爆破与拆除、土石方工程和境内国际招标工程，上述境外工程所需的设备、材料出口，对外派遣实施上述境外工程所需的劳务人员（以上各项具体按本公司有效证书经营）。上述相关的技术研发与咨询服务，爆破清渣，机械设备租赁。"
"002684.XSHE","002684","XSHE",3,"中小板","CNY","猛狮科技","广东猛狮电源科技股份有限公司","L","2012-06-12",,"A","沪深A股","CHN",65923,233534400,113139400,113139400,"广东省汕头市澄海区莲河西路(华富工业区猛狮蓄电池厂内1.2.4幢)","生产、销售：各类蓄电池及其配件、原材料，提供相关技术咨询及售后服务；销售：汽车(小汽车除外)、电动自行车；货物进出口，技术进出口(依法须经批准的项目，经相关部门批准后方可开展经营活动)。"
"002685.XSHE","002685","XSHE",3,"中小板","CNY","华东重机","无锡华东重型机械股份有限公司","L","2012-06-12",,"A","沪深A股","CHN",65887,200000000,99500000,99500000,"江苏省无锡市滨湖经济技术开发区高浪东路508号","轨道式集装箱门式起重机、岸桥的生产，起重机械、金属结构件及其他非标设备的生产与安装。"
"002686.XSHE","002686","XSHE",3,"中小板","CNY","亿利达","浙江亿利达风机股份有限公司","L","2012-07-03",,"A","沪深A股","CHN",65915,272010000,68010000,68010000,"浙江省台州市路桥区横街镇亿利达路","生产销售风机、风扇、电机、空调暖通设备及配件、通风净化设备、自动化控制设备、电子工业专用设备、塑料制品、金属制品。上述经营范围不含国家法律法规规定禁止、限制和许可经营的项目。"
"002687.XSHE","002687","XSHE",3,"中小板","CNY","乔治白","浙江乔治白服饰股份有限公司","L","2012-07-13",,"A","沪深A股","CHN",66042,236568000,69612750,69612750,"浙江省温州市平阳县昆阳镇平瑞公路588号","生产、批发、零售服装及饰品、特种劳动防护用品（阻燃防护服、防静电工作服）；以特许经营方式从事商业活动。（上述经营范围不含国家法律规定禁止、限制和许可经营的项目）。"
"002688.XSHE","002688","XSHE",3,"中小板","CNY","金河生物","金河生物科技股份有限公司","L","2012-07-13",,"A","沪深A股","CHN",64477,217840000,108496648,108496648,"内蒙古自治区呼和浩特市托克托县新坪路71号","药物饲料添加剂的生产和销售。"
"002689.XSHE","002689","XSHE",3,"中小板","CNY","博林特","沈阳博林特电梯集团股份有限公司","L","2012-07-17",,"A","沪深A股","CHN",66065,534641409,170951904,170951904,"辽宁省沈阳市经济技术开发区开发大道16号街27号","许可经营项目：乘客电梯、载货电梯、杂物电梯、自动扶梯、自动人行道制造、安装、改造、维修；一般经营项目：立体车库及配件、永磁同步电机、曳引机及调频调压曳引机系统、机器人、自动旋转门、擦窗机、自动车库、电控柜、建筑机械设备加工、制造、设计、安装、改造及维修服务；金属板材的钣金、粉末静电喷涂、氟碳漆、丙烯酸漆静电喷涂、陶瓷漆喷涂、木纹转印加工；电梯自动化系统及低压电器、计算机软硬件、工业过程控制设备、电机及拖动系统技术开发、制造、加工。"
"002690.XSHE","002690","XSHE",3,"中小板","CNY","美亚光电","合肥美亚光电技术股份有限公司","L","2012-07-31",,"A","沪深A股","CHN",65945,338000000,110959533,110959533,"安徽省合肥市高新技术产业开发区望江西路668号","光电子应用技术开发、转让、软件设计，光电机械（含农业机械、工业机械、光电子应用设备）、6830医用X射线设备制造与销售，二类（含医用X射线附属设备及部件，口腔科设备及器具，软件）、三类（口腔科材料）医疗器械销售，自营和代理各种商品和技术的进出口业务（国家法律法规禁止的商品和技术除外）。"
